# pixel	lambda_nm	raman_cm1
625.000000	570.545741	1269.913979
626.000000	570.612639	1271.968818
627.000000	570.679536	1274.023176
628.000000	570.746434	1276.077052
629.000000	570.813331	1278.130446
630.000000	570.880229	1280.183360
631.000000	570.947126	1282.235792
632.000000	571.014024	1284.287743
633.000000	571.080921	1286.339214
634.000000	571.147819	1288.390204
635.000000	571.214716	1290.440714
636.000000	571.281614	1292.490743
637.000000	571.348511	1294.540292
638.000000	571.415409	1296.589362
639.000000	571.482306	1298.637951
640.000000	571.549204	1300.686062
641.000000	571.616101	1302.733692
642.000000	571.682999	1304.780844
643.000000	571.749896	1306.827516
644.000000	571.816793	1308.873710
645.000000	571.883691	1310.919425
646.000000	571.950588	1312.964661
647.000000	572.017486	1315.009419
648.000000	572.084383	1317.053699
649.000000	572.151281	1319.097501
650.000000	572.218178	1321.140824
651.000000	572.285076	1323.183671
652.000000	572.351973	1325.226039
653.000000	572.418871	1327.267930
654.000000	572.485768	1329.309344
655.000000	572.552666	1331.350281
656.000000	572.619563	1333.390741
657.000000	572.686461	1335.430725
658.000000	572.753358	1337.470231
659.000000	572.820256	1339.509262
660.000000	572.887153	1341.547816
661.000000	572.954051	1343.585894
662.000000	573.020948	1345.623497
663.000000	573.087846	1347.660623
664.000000	573.154743	1349.697274
665.000000	573.221640	1351.733450
666.000000	573.288538	1353.769151
667.000000	573.355435	1355.804376
668.000000	573.422333	1357.839127
669.000000	573.489230	1359.873403
670.000000	573.556128	1361.907204
671.000000	573.623025	1363.940531
672.000000	573.689923	1365.973384
673.000000	573.756820	1368.005763
674.000000	573.823718	1370.037667
675.000000	573.890615	1372.069099
676.000000	573.957513	1374.100056
677.000000	574.024410	1376.130540
678.000000	574.091308	1378.160551
679.000000	574.158205	1380.190089
680.000000	574.225103	1382.219154
681.000000	574.292000	1384.247747
682.000000	574.358898	1386.275866
683.000000	574.425795	1388.303514
684.000000	574.492692	1390.330689
685.000000	574.559590	1392.357392
686.000000	574.626487	1394.383623
687.000000	574.693385	1396.409383
688.000000	574.760282	1398.434671
689.000000	574.827180	1400.459487
690.000000	574.894077	1402.483833
691.000000	574.960975	1404.507707
692.000000	575.027872	1406.531110
693.000000	575.094770	1408.554043
694.000000	575.161667	1410.576505
695.000000	575.228565	1412.598496
696.000000	575.295462	1414.620018
697.000000	575.362360	1416.641069
698.000000	575.429257	1418.661650
699.000000	575.496155	1420.681762
700.000000	575.563052	1422.701404
701.000000	575.629950	1424.720576
702.000000	575.696847	1426.739280
703.000000	575.763744	1428.757514
704.000000	575.830642	1430.775279
705.000000	575.897539	1432.792576
706.000000	575.964437	1434.809404
707.000000	576.031334	1436.825763
708.000000	576.098232	1438.841654
709.000000	576.165129	1440.857077
710.000000	576.232027	1442.872032
711.000000	576.298924	1444.886519
712.000000	576.365822	1446.900539
713.000000	576.432719	1448.914091
714.000000	576.499617	1450.927176
715.000000	576.566514	1452.939794
716.000000	576.633412	1454.951944
717.000000	576.700309	1456.963628
718.000000	576.767207	1458.974845
719.000000	576.834104	1460.985596
720.000000	576.901002	1462.995881
721.000000	576.967899	1465.005699
722.000000	577.034797	1467.015051
723.000000	577.101694	1469.023937
724.000000	577.168591	1471.032358
725.000000	577.235489	1473.040313
726.000000	577.302386	1475.047803
727.000000	577.369284	1477.054828
728.000000	577.436181	1479.061387
729.000000	577.503079	1481.067482
730.000000	577.569976	1483.073112
731.000000	577.636874	1485.078277
732.000000	577.703771	1487.082978
733.000000	577.770669	1489.087215
734.000000	577.837566	1491.090988
735.000000	577.904464	1493.094297
736.000000	577.971361	1495.097142
737.000000	578.038259	1497.099523
738.000000	578.105156	1499.101441
739.000000	578.172054	1501.102896
740.000000	578.238951	1503.103888
741.000000	578.305849	1505.104416
742.000000	578.372746	1507.104482
743.000000	578.439643	1509.104086
744.000000	578.506541	1511.103227
745.000000	578.573438	1513.101905
746.000000	578.640336	1515.100122
747.000000	578.707233	1517.097876
748.000000	578.774131	1519.095169
749.000000	578.841028	1521.092000
750.000000	578.907926	1523.088369
751.000000	578.974823	1525.084277
752.000000	579.041721	1527.079724
753.000000	579.108618	1529.074710
754.000000	579.175516	1531.069235
755.000000	579.242413	1533.063300
756.000000	579.309311	1535.056903
757.000000	579.376208	1537.050047
758.000000	579.443106	1539.042730
759.000000	579.510003	1541.034953
760.000000	579.576901	1543.026717
761.000000	579.643798	1545.018020
762.000000	579.710695	1547.008864
763.000000	579.777593	1548.999248
764.000000	579.844490	1550.989174
765.000000	579.911388	1552.978640
766.000000	579.978285	1554.967647
767.000000	580.045183	1556.956195
768.000000	580.112080	1558.944285
769.000000	580.178978	1560.931917
770.000000	580.245875	1562.919089
771.000000	580.312773	1564.905804
772.000000	580.379670	1566.892061
773.000000	580.446568	1568.877860
774.000000	580.513465	1570.863201
775.000000	580.580363	1572.848085
776.000000	580.647260	1574.832512
777.000000	580.714158	1576.816481
778.000000	580.781055	1578.799993
779.000000	580.847953	1580.783048
780.000000	580.914850	1582.765647
781.000000	580.981748	1584.747789
782.000000	581.048645	1586.729474
783.000000	581.115542	1588.710704
784.000000	581.182440	1590.691477
785.000000	581.249337	1592.671794
786.000000	581.316235	1594.651655
787.000000	581.383132	1596.631061
788.000000	581.450030	1598.610012
789.000000	581.516927	1600.588507
790.000000	581.583825	1602.566547
791.000000	581.650722	1604.544131
792.000000	581.717620	1606.521261
793.000000	581.784517	1608.497937
794.000000	581.851415	1610.474158
795.000000	581.918312	1612.449924
796.000000	581.985210	1614.425236
797.000000	582.052107	1616.400094
798.000000	582.119005	1618.374499
799.000000	582.185902	1620.348449
800.000000	582.252800	1622.321946
801.000000	582.319697	1624.294990
802.000000	582.386594	1626.267580
803.000000	582.453492	1628.239717
804.000000	582.520389	1630.211401
805.000000	582.587287	1632.182632
806.000000	582.654184	1634.153411
807.000000	582.721082	1636.123737
808.000000	582.787979	1638.093611
809.000000	582.854877	1640.063033
810.000000	582.921774	1642.032002
811.000000	582.988672	1644.000520
812.000000	583.055569	1645.968586
813.000000	583.122467	1647.936200
814.000000	583.189364	1649.903363
815.000000	583.256262	1651.870075
816.000000	583.323159	1653.836336
817.000000	583.390057	1655.802146
818.000000	583.456954	1657.767505
819.000000	583.523852	1659.732413
820.000000	583.590749	1661.696871
821.000000	583.657646	1663.660878
822.000000	583.724544	1665.624436
823.000000	583.791441	1667.587543
824.000000	583.858339	1669.550200
825.000000	583.925236	1671.512408
826.000000	583.992134	1673.474166
827.000000	584.059031	1675.435475
828.000000	584.125929	1677.396335
829.000000	584.192826	1679.356745
830.000000	584.259724	1681.316707
831.000000	584.326621	1683.276220
832.000000	584.393519	1685.235284
833.000000	584.460416	1687.193899
834.000000	584.527314	1689.152067
835.000000	584.594211	1691.109786
836.000000	584.661109	1693.067057
837.000000	584.728006	1695.023881
838.000000	584.794904	1696.980256
839.000000	584.861801	1698.936184
840.000000	584.928699	1700.891665
841.000000	584.995596	1702.846699
842.000000	585.062493	1704.801285
843.000000	585.129391	1706.755424
844.000000	585.196288	1708.709117
845.000000	585.263186	1710.662363
846.000000	585.330083	1712.615163
847.000000	585.396981	1714.567516
848.000000	585.463878	1716.519423
849.000000	585.530776	1718.470884
850.000000	585.597673	1720.421899
851.000000	585.664571	1722.372469
852.000000	585.731468	1724.322593
853.000000	585.798366	1726.272271
854.000000	585.865263	1728.221504
855.000000	585.932161	1730.170293
856.000000	585.999058	1732.118636
857.000000	586.065956	1734.066534
858.000000	586.132853	1736.013988
859.000000	586.199751	1737.960997
860.000000	586.266648	1739.907562
861.000000	586.333545	1741.853683
862.000000	586.400443	1743.799360
863.000000	586.467340	1745.744593
864.000000	586.534238	1747.689382
865.000000	586.601135	1749.633728
866.000000	586.668033	1751.577630
867.000000	586.734930	1753.521089
868.000000	586.801828	1755.464104
869.000000	586.868725	1757.406677
870.000000	586.935623	1759.348807
871.000000	587.002520	1761.290494
872.000000	587.069418	1763.231739
873.000000	587.136315	1765.172542
874.000000	587.203213	1767.112902
875.000000	587.270110	1769.052820
876.000000	587.337008	1770.992296
877.000000	587.403905	1772.931331
878.000000	587.470803	1774.869923
879.000000	587.537700	1776.808075
880.000000	587.604597	1778.745785
881.000000	587.671495	1780.683054
882.000000	587.738392	1782.619882
883.000000	587.805290	1784.556269
884.000000	587.872187	1786.492215
885.000000	587.939085	1788.427721
886.000000	588.005982	1790.362786
887.000000	588.072880	1792.297412
888.000000	588.139777	1794.231597
889.000000	588.206675	1796.165342
890.000000	588.273572	1798.098647
891.000000	588.340470	1800.031513
892.000000	588.407367	1801.963939
893.000000	588.474265	1803.895925
894.000000	588.541162	1805.827473
895.000000	588.608060	1807.758582
896.000000	588.674957	1809.689251
897.000000	588.741855	1811.619482
898.000000	588.808752	1813.549274
